,NTA,YEAR,Property_Count,pct_change
340,College Point,2018,4767,0.041972717733473885
341,College Point,2019,4779,0.25173064820642743
342,Corona,2011,3698,
343,Corona,2012,3717,0.5137912385072996
344,Corona,2013,3772,1.4796879203658797
345,Corona,2014,3766,-0.15906680805938267
346,Corona,2015,3789,0.6107275624004149
347,Corona,2016,3785,-0.10556875164950963
348,Corona,2017,3817,0.8454425363276119
349,Corona,2018,3871,1.4147236049253387
350,Corona,2019,3895,0.6199948333763805
351,Crotona Park East,2011,912,
352,Crotona Park East,2012,912,0.0
353,Crotona Park East,2013,920,0.8771929824561431
354,Crotona Park East,2014,921,0.10869565217390686
355,Crotona Park East,2015,929,0.8686210640608039
356,Crotona Park East,2016,930,0.10764262648008671
357,Crotona Park East,2017,936,0.6451612903225712
358,Crotona Park East,2018,934,-0.21367521367521292
359,Crotona Park East,2019,942,0.8565310492505418
360,Crown Heights North,2011,8539,
361,Crown Heights North,2012,8667,1.4990045672795382
362,Crown Heights North,2013,8629,-0.4384446752047966
363,Crown Heights North,2014,8674,0.5214972766253378
364,Crown Heights North,2015,8710,0.4150334332487793
365,Crown Heights North,2016,8702,-0.09184845005740794
366,Crown Heights North,2017,8846,1.6547920018386675
367,Crown Heights North,2018,8874,0.31652724395205833
368,Crown Heights North,2019,8945,0.8000901510029301
369,Crown Heights South,2011,2371,
370,Crown Heights South,2012,2372,0.042176296921137
371,Crown Heights South,2013,2378,0.2529510961214232
372,Crown Heights South,2014,2389,0.4625735912531459
373,Crown Heights South,2015,2389,0.0
374,Crown Heights South,2016,2390,0.04185851820845965
375,Crown Heights South,2017,2387,-0.1255230125522977
376,Crown Heights South,2018,2389,0.08378718056136769
377,Crown Heights South,2019,2438,2.051067392214323
378,Cypress Hills-City Line,2011,5593,
379,Cypress Hills-City Line,2012,5588,-0.08939746111210622
380,Cypress Hills-City Line,2013,5588,0.0
381,Cypress Hills-City Line,2014,5591,0.05368647100929547
382,Cypress Hills-City Line,2015,5594,0.05365766410301287
383,Cypress Hills-City Line,2016,5592,-0.03575259206292092
384,Cypress Hills-City Line,2017,5593,0.017882689556514286
385,Cypress Hills-City Line,2018,5591,-0.03575898444484471
386,Cypress Hills-City Line,2019,5589,-0.03577177606868265
387,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2011,4935,
388,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2012,4960,0.5065856129685908
389,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2013,5343,7.721774193548381
390,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2014,5408,1.2165450121654597
391,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2015,5436,0.5177514792899407
392,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2016,5600,3.0169242089771897
393,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2017,5722,2.1785714285714297
394,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2018,5995,4.771059070255146
395,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2019,6143,2.468723936613837
396,Douglas Manor-Douglaston-Little Neck,2011,5765,
397,Douglas Manor-Douglaston-Little Neck,2012,5764,-0.017346053772770986
398,Douglas Manor-Douglaston-Little Neck,2013,5765,0.017349063150584598
399,Douglas Manor-Douglaston-Little Neck,2014,5770,0.08673026886383273
400,Douglas Manor-Douglaston-Little Neck,2015,5834,1.109185441941074
401,Douglas Manor-Douglaston-Little Neck,2016,5841,0.11998628728144833
402,Douglas Manor-Douglaston-Little Neck,2017,5849,0.13696284882724896
403,Douglas Manor-Douglaston-Little Neck,2018,5851,0.034193879295596474
404,Douglas Manor-Douglaston-Little Neck,2019,5852,0.01709109553922339
405,Dyker Heights,2011,7250,
406,Dyker Heights,2012,7254,0.05517241379311422
407,Dyker Heights,2013,7270,0.22056796250344846
408,Dyker Heights,2014,7266,-0.05502063273727931
409,Dyker Heights,2015,7274,0.11010184420590097
410,Dyker Heights,2016,7295,0.28869947759142534
411,Dyker Heights,2017,7305,0.1370801919122755
412,Dyker Heights,2018,7306,0.013689253935655898
413,Dyker Heights,2019,7304,-0.027374760470844084
414,East Concourse-Concourse Village,2011,1311,
415,East Concourse-Concourse Village,2012,1310,-0.07627765064835978
416,East Concourse-Concourse Village,2013,1315,0.3816793893129722
417,East Concourse-Concourse Village,2014,1320,0.3802281368821214
418,East Concourse-Concourse Village,2015,1322,0.15151515151514694
419,East Concourse-Concourse Village,2016,1320,-0.1512859304084735
420,East Concourse-Concourse Village,2017,1313,-0.5303030303030254
421,East Concourse-Concourse Village,2018,1307,-0.4569687738004591
422,East Concourse-Concourse Village,2019,1311,0.3060443764345777
423,East Elmhurst,2011,3189,
424,East Elmhurst,2012,3188,-0.03135779241141279
425,East Elmhurst,2013,3198,0.31367628607277265
426,East Elmhurst,2014,3199,0.0312695434646626
427,East Elmhurst,2015,3205,0.18755861206627422
428,East Elmhurst,2016,3220,0.46801872074881956
429,East Elmhurst,2017,3220,0.0
430,East Elmhurst,2018,3222,0.06211180124222615
431,East Elmhurst,2019,3228,0.18621973929235924
432,East Flatbush-Farragut,2011,7176,
433,East Flatbush-Farragut,2012,7173,-0.04180602006689238
434,East Flatbush-Farragut,2013,7173,0.0
435,East Flatbush-Farragut,2014,7174,0.013941168269893112
436,East Flatbush-Farragut,2015,7174,0.0
437,East Flatbush-Farragut,2016,7173,-0.013939224979087061
438,East Flatbush-Farragut,2017,7170,-0.04182350480970154
439,East Flatbush-Farragut,2018,7169,-0.01394700139469851
440,East Flatbush-Farragut,2019,7173,0.05579578741805591
441,East Flushing,2011,4428,
442,East Flushing,2012,4423,-0.1129177958446248
443,East Flushing,2013,4442,0.4295726882206585
444,East Flushing,2014,4443,0.02251238180999149
445,East Flushing,2015,4447,0.09002925950933882
446,East Flushing,2016,4462,0.3373060490218016
447,East Flushing,2017,4485,0.5154639175257714
448,East Flushing,2018,4479,-0.13377926421405117
449,East Flushing,2019,4491,0.26791694574681557
450,East Harlem North,2011,1705,
451,East Harlem North,2012,1734,1.7008797653959018
452,East Harlem North,2013,1757,1.3264129181084217
453,East Harlem North,2014,1752,-0.2845759817871385
454,East Harlem North,2015,1759,0.39954337899543724
455,East Harlem North,2016,1757,-0.11370096645821892
456,East Harlem North,2017,1776,1.0813887307911108
457,East Harlem North,2018,1782,0.33783783783782884
458,East Harlem North,2019,1786,0.22446689113355678
459,East Harlem South,2011,1251,
460,East Harlem South,2012,1246,-0.3996802557953649
461,East Harlem South,2013,1298,4.173354735152479
462,East Harlem South,2014,1457,12.249614791987673
463,East Harlem South,2015,1509,3.568977350720659
464,East Harlem South,2016,1505,-0.2650762094102088
465,East Harlem South,2017,1527,1.46179401993356
466,East Harlem South,2018,1606,5.173542894564509
467,East Harlem South,2019,1679,4.545454545454541
468,East New York,2011,10602,
469,East New York,2012,10659,0.5376344086021501
470,East New York,2013,10665,0.056290458767249696
471,East New York,2014,10676,0.10314111579934337
472,East New York,2015,10701,0.2341701011614905
473,East New York,2016,10771,0.6541444724792012
474,East New York,2017,10858,0.8077244452697085
475,East New York,2018,10872,0.12893718916928698
476,East New York,2019,10885,0.1195732155996998
477,East New York (Pennsylvania Ave),2011,3098,
478,East New York (Pennsylvania Ave),2012,3098,0.0
479,East New York (Pennsylvania Ave),2013,3086,-0.3873466752743693
480,East New York (Pennsylvania Ave),2014,3091,0.16202203499675605
481,East New York (Pennsylvania Ave),2015,3095,0.12940795858944476
482,East New York (Pennsylvania Ave),2016,3091,-0.12924071082390798
483,East New York (Pennsylvania Ave),2017,3105,0.45292785506307887
484,East New York (Pennsylvania Ave),2018,3101,-0.12882447665056862
485,East New York (Pennsylvania Ave),2019,3114,0.41921960657851365
486,East Tremont,2011,1590,
487,East Tremont,2012,1596,0.37735849056603765
488,East Tremont,2013,1598,0.12531328320801727
489,East Tremont,2014,1598,0.0
490,East Tremont,2015,1597,-0.06257822277847547
491,East Tremont,2016,1591,-0.37570444583594487
492,East Tremont,2017,1602,0.6913890634820952
493,East Tremont,2018,1607,0.3121098626716501
494,East Tremont,2019,1615,0.49782202862476144
495,East Village,2011,2451,
496,East Village,2012,2528,3.1415748674010535
497,East Village,2013,2521,-0.2768987341772111
498,East Village,2014,2533,0.47600158667195913
499,East Village,2015,2637,4.105803395183583
500,East Village,2016,2645,0.30337504740234333
501,East Village,2017,2671,0.9829867674858273
502,East Village,2018,2717,1.72220142268813
503,East Village,2019,2814,3.5701140964298883
504,East Williamsburg,2011,3574,
505,East Williamsburg,2012,3682,3.021824286513719
506,East Williamsburg,2013,3767,2.3085279739272213
507,East Williamsburg,2014,3824,1.5131404300504414
508,East Williamsburg,2015,3860,0.9414225941422494
509,East Williamsburg,2016,3869,0.2331606217616633
510,East Williamsburg,2017,3968,2.5588007237012045
511,East Williamsburg,2018,4068,2.5201612903225756
512,East Williamsburg,2019,4128,1.4749262536873253
513,Eastchester-Edenwald-Baychester,2011,4313,
514,Eastchester-Edenwald-Baychester,2012,4330,0.39415719916531256
515,Eastchester-Edenwald-Baychester,2013,4330,0.0
516,Eastchester-Edenwald-Baychester,2014,4337,0.16166281755196632
517,Eastchester-Edenwald-Baychester,2015,4344,0.16140189070785738
518,Eastchester-Edenwald-Baychester,2016,4350,0.13812154696133394
519,Eastchester-Edenwald-Baychester,2017,4359,0.206896551724145
520,Eastchester-Edenwald-Baychester,2018,4369,0.22941041523285577
521,Eastchester-Edenwald-Baychester,2019,4367,-0.0457770656900891
522,Elmhurst,2011,6639,
523,Elmhurst,2012,6720,1.2200632625395391
524,Elmhurst,2013,6736,0.23809523809523725
525,Elmhurst,2014,6748,0.1781472684085461
526,Elmhurst,2015,6787,0.5779490219324224
527,Elmhurst,2016,6830,0.6335641667894576
528,Elmhurst,2017,6854,0.35139092240117353
529,Elmhurst,2018,6892,0.5544207761890796
530,Elmhurst,2019,6939,0.681950087057448
531,Elmhurst-Maspeth,2011,3503,
532,Elmhurst-Maspeth,2012,3504,0.028546959748787515
533,Elmhurst-Maspeth,2013,3508,0.11415525114155667
534,Elmhurst-Maspeth,2014,3526,0.5131128848346656
