zipcode,x,y
10027,989084,174329
10027,1015530,255253
10027,996958,236703
11208,1019596,188333
11208,980917,196981
10005,1019596,188333
10005,980917,196981
11208,1019830,182162
11208,965304,155866
11208,1000019,181227
11208,983905,201653
10305,1019830,182162
10305,965304,155866
10305,1000019,181227
10305,983905,201653
11225,1019830,182162
11225,965304,155866
11225,1000019,181227
11225,983905,201653
10013,1019830,182162
10013,965304,155866
10013,1000019,181227
10013,983905,201653
11216,996826,187352
11414,1025203,179446
11414,985377,202849
11414,983220,196840
10012,1025203,179446
10012,985377,202849
10012,983220,196840
10038,1025203,179446
10038,985377,202849
10038,983220,196840
10013,981559,200289
10025,994768,232748
10025,1001560,246228
10032,994768,232748
10032,1001560,246228
10454,1005796,234876
10454,1005462,235283
10454,1006375,246656
10454,981903,198159
10452,1005462,235283
10452,1006375,246656
10452,981903,198159
10038,1005462,235283
10038,1006375,246656
10038,981903,198159
11207,1013535,182044
11207,990709,201025
11207,1029995,245862
11207,981657,198143
10002,1013535,182044
10002,990709,201025
10002,1029995,245862
10002,981657,198143
10461,1013535,182044
10461,990709,201025
10461,1029995,245862
10461,981657,198143
10007,1013535,182044
10007,990709,201025
10007,1029995,245862
10007,981657,198143
10026,997791,232913
11233,1003046,188422
11233,1008390,242057
11233,960951,166153
11233,998325,232019
11233,985985,199668
11233,1049357,215663
10456,1003046,188422
10456,1008390,242057
10456,960951,166153
10456,998325,232019
10456,985985,199668
10456,1049357,215663
10304,1003046,188422
10304,1008390,242057
10304,960951,166153
10304,998325,232019
10304,985985,199668
10304,1049357,215663
10026,1003046,188422
10026,1008390,242057
10026,960951,166153
10026,998325,232019
10026,985985,199668
10026,1049357,215663
10002,1003046,188422
10002,1008390,242057
10002,960951,166153
10002,998325,232019
10002,985985,199668
10002,1049357,215663
11361,1003046,188422
11361,1008390,242057
11361,960951,166153
11361,998325,232019
11361,985985,199668
11361,1049357,215663
10469,1029564,252916
10469,1010912,182108
11212,1029564,252916
11212,1010912,182108
11366,1037916,203169
11366,984081,202863
10012,1037916,203169
10012,984081,202863
10451,1007280,238934
11220,981030,173851
11220,1024887,267203
11220,981411,201484
11220,1007314,182273
10466,981030,173851
10466,1024887,267203
10466,981411,201484
10466,1007314,182273
10013,981030,173851
10013,1024887,267203
10013,981411,201484
10013,1007314,182273
11212,981030,173851
11212,1024887,267203
11212,981411,201484
11212,1007314,182273
10031,998474,240086
10039,1001045,240367
10039,1010638,248020
10039,1009480,183843
10457,1001045,240367
10457,1010638,248020
10457,1009480,183843
11212,1001045,240367
11212,1010638,248020
11212,1009480,183843
10031,1000244,241211
11219,986423,173963
11219,1010266,244781
11219,997471,239478
11219,985909,198540
10456,986423,173963
10456,1010266,244781
10456,997471,239478
10456,985909,198540
10031,986423,173963
10031,1010266,244781
10031,997471,239478
10031,985909,198540
10002,986423,173963
10002,1010266,244781
10002,997471,239478
10002,985909,198540
11414,1024104,183611
11414,1013911,185632
11414,994051,173361
11207,1024104,183611
11207,1013911,185632
11207,994051,173361
11226,1024104,183611
11226,1013911,185632
11226,994051,173361
11414,1023845,183501
11414,996679,158901
11414,1020905,246084
11229,1023845,183501
11229,996679,158901
11229,1020905,246084
10460,1023845,183501
10460,996679,158901
10460,1020905,246084
10469,1025172,253296
10469,984998,200376
10469,1006226,170026
10013,1025172,253296
10013,984998,200376
10013,1006226,170026
11234,1025172,253296
11234,984998,200376
11234,1006226,170026
10013,983664,201767
10013,1003167,182605
11213,983664,201767
11213,1003167,182605
10019,989139,217019
10019,996726,156716
10019,998620,240005
10019,1055796,180107
11229,989139,217019
11229,996726,156716
11229,998620,240005
11229,1055796,180107
10031,989139,217019
10031,996726,156716
10031,998620,240005
10031,1055796,180107
11422,989139,217019
11422,996726,156716
11422,998620,240005
11422,1055796,180107
11417,1028406,187109
11417,984174,200725
11417,982976,203903
11417,1025899,209083
10013,1028406,187109
10013,984174,200725
10013,982976,203903
10013,1025899,209083
10013,1028406,187109
10013,984174,200725
10013,982976,203903
10013,1025899,209083
11368,1028406,187109
11368,984174,200725
11368,982976,203903
11368,1025899,209083
10016,988450,211388
10016,945051,137578
10308,988450,211388
10308,945051,137578
10462,1021909,247410
10462,987382,199474
10462,996630,238411
10462,985271,200242
10002,1021909,247410
10002,987382,199474
10002,996630,238411
10002,985271,200242
10031,1021909,247410
10031,987382,199474
10031,996630,238411
10031,985271,200242
10013,1021909,247410
10013,987382,199474
10013,996630,238411
10013,985271,200242
11414,1031041,179669
11414,983933,202631
10012,1031041,179669
10012,983933,202631
10036,987772,216413
10036,1000736,241075
10036,985498,203362
10036,984549,203344
10036,997810,221493
10031,987772,216413
10031,1000736,241075
10031,985498,203362
10031,984549,203344
10031,997810,221493
10012,987772,216413
